"Username","Date","Rating","Comment","Link"
"drwhok9",5/12/2018 3:29:17 AM,"none","I've subscribed to both and agree with you that Hello Fresh edges out Blue Apron.  If for no other reason than the concise way they package their meals.  Nice job on comparing these...thanks!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzSqfySxqxbOfXcFxR4AaABAg"
"Sandra Blandford",5/9/2018 3:52:30 AM,"none","Thanks Matt. We tried Blue Apron and found the dishes good but does not compete in value with buying my own groceries and prepping my own meals. Much better value in buying groceries. The recipes were good. We did not renew after our trial offer.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwkoT6WkPOmk7fRKOB4AaABAg"
"Kirsten Childers",5/9/2018 2:29:14 AM,"none","For $40 off you can use this promo code on your first box= ZIGGIEZ  :)","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwmtZcNn7M363xVD2p4AaABAg"
"Aron Kansal",5/8/2018 9:25:11 PM,"none","Tip - I used promo code: ARON2 - and got my first 3 meals totally free.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwnTB6nO57-mY93prF4AaABAg"
"Angelique Figueroa",5/5/2018 12:56:55 PM,"none","“Let me lose” 😭","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyM9ravghgz0QXewWx4AaABAg"
"Sexy Star",5/4/2018 2:30:17 PM,"none","I'm confused about Holly's statement about food coming in boxes. How does one think they come in when brought to the store? Maybe she misspoke, but I wouldn't assume a giant supply of onions would come in plastic or paper bags.🤔🤔🤔","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugzoayu_oKZI2SB7g8R4AaABAg"
"WKaliberr",5/3/2018 4:47:46 PM,"none","HelloFresh all the way!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugxu8ZQbXdFgKCIls5V4AaABAg"
"Alexandru Anghel",5/2/2018 9:18:09 PM,"none","......can i have a pizza please","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyLtj_5IxZxJkAd0Mp4AaABAg"
"ninja50599",4/21/2018 9:33:15 PM,"none","Use promo code “Renyu” for $40 off!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugzm5n8A1PdQPi6ovc54AaABAg"
"David Miller",4/18/2018 7:58:21 PM,"none","Great review - love the energy!!!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwOxseDkOS-cZWdLZF4AaABAg"
"No No",4/17/2018 4:43:05 AM,"none","120 dollars for three meals? LOL, So this is 40 dollars per meal? My god. I could feed myself for a week with 40 bucks.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugz25w2tpan_2aYi7ZV4AaABAg"
