"Username","Date","Rating","Comment","Link"
"Danielle Fitz",6/8/2018 8:16:14 PM,"none","R.I.P Ali Banat, I know you've done so much good to those people you've helped, You going to be ok up there, Thanks for sharing.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugz68xiHcupOoBRUIh54AaABAg"
"Everything cOoL",6/8/2018 5:29:29 PM,"none","I have just discovered him on Internet... N its sad that such kind soul has departed 😔😞😞😞❤️😟😟","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyLj4UrOdRghqq6RBx4AaABAg"
"sabrina thepurplelovefairy",6/8/2018 3:53:23 PM,"none","May he rest in peace. People do good all the time but no one really talks about it. I send prayers to his family and friends.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugyc9F0pBJM31dzh6mB4AaABAg"
"Irin Rozi",6/8/2018 9:11:23 AM,"none","may Allah grant him heaven, “Amin”😔","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzZ4AB7P4U0nqNtLNZ4AaABAg"
"Bakrie SM",6/8/2018 9:09:03 AM,"none","Smuga khusnul khotimah saudara ku","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxPwKLt6mKSeG4UCQN4AaABAg"
"Moby edris",6/7/2018 11:23:07 PM,"none","im everything poor  on me  allah yerahmo sir  ali","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzFL01l50KN_1W6IaJ4AaABAg"
"Ekaka Victory",6/7/2018 11:03:54 PM,"none","Rip","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugx3kiI9bE3E15QzNDh4AaABAg"
"Md.Basir khan",6/7/2018 10:33:22 PM,"none","Allah Janat dan koron...amin..","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwZaXi6Oi93QAgw8kR4AaABAg"
"Amr Ragheb",6/7/2018 5:53:08 PM,"none","اللهم يجعلك من أهل الفردوس الأعلى مع الأنبياء والصدقين والشهداء","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyZzBemCWr5i5kFnDd4AaABAg"
"Aadil Ali",6/7/2018 4:39:58 PM,"none","you are jannati b/c your death in ramazon mashaallah","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugyi1XMtNxW_oJWGAUJ4AaABAg"
"Aadil Ali",6/7/2018 4:38:22 PM,"none","you are our hero. allah grant jannatul firdous ameen ameen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugydinrlk6B0Z5S2tLJ4AaABAg"
